TotalDrinkUnitSales;TotalDrinkSales;TotalFoodSales;TotalFoodUnitSales;TotalNonConUnitSales;TotalNonConSales;customer_id;marital_status;yearly_income;gender;total_children;num_children_at_home;education;member_card;occupation;houseowner;num_cars_owned
0;0;0;0;0;0;22;M;$30K - $50K;F;4;4;High School Degree;Golden;Skilled Manual;Y;4
0;0;57;23;7;20;23;S;$30K - $50K;F;2;0;High School Degree;Silver;Manual;N;3
6;18;101;53;17;47;24;S;$30K - $50K;F;0;0;High School Degree;Bronze;Manual;N;3
4;3;32;16;0;0;25;S;$70K - $90K;F;3;0;High School Degree;Bronze;Professional;N;2
5;9;89;34;3;6;26;S;$10K - $30K;M;0;0;Partial High School;Normal;Skilled Manual;N;1
0;0;8;3;0;0;27;M;$30K - $50K;F;1;1;High School Degree;Bronze;Manual;Y;3
0;0;147;59;7;16;28;S;$10K - $30K;F;1;0;Partial High School;Silver;Manual;Y;1
0;0;0;0;0;0;29;S;$10K - $30K;F;2;0;Partial High School;Normal;Manual;N;1
0;0;128;54;11;18;30;S;$50K - $70K;F;4;0;Bachelors Degree;Bronze;Professional;Y;3
0;0;12;6;3;6;31;M;$50K - $70K;F;4;3;Graduate Degree;Golden;Professional;Y;3
0;0;49;23;7;17;32;S;$10K - $30K;F;2;0;Partial High School;Normal;Manual;Y;2
0;0;0;0;0;0;33;M;$30K - $50K;F;2;2;High School Degree;Bronze;Skilled Manual;N;2
2;4;24;11;0;0;34;M;$50K - $70K;F;3;1;Bachelors Degree;Silver;Management;Y;2
0;0;0;0;0;0;35;M;$30K - $50K;M;5;1;Partial College;Bronze;Skilled Manual;Y;3
7;11;68;38;28;64;36;S;$10K - $30K;M;1;0;Partial High School;Normal;Skilled Manual;N;1
0;0;0;0;0;0;37;S;$50K - $70K;M;0;0;Bachelors Degree;Bronze;Professional;N;3
0;0;101;43;2;3;38;S;$30K - $50K;M;1;0;Partial College;Bronze;Management;N;1
13;22;295;129;28;68;39;M;$90K - $110K;F;4;2;Graduate Degree;Bronze;Professional;Y;2
1;2;18;9;1;2;40;S;$110K - $130K;M;1;0;Partial College;Bronze;Professional;Y;2
4;3;95;41;15;37;41;S;$110K - $130K;M;1;0;High School Degree;Bronze;Professional;N;2
2;4;112;56;20;30;42;M;$70K - $90K;F;3;3;Bachelors Degree;Golden;Management;Y;3
3;6;105;48;18;39;43;S;$50K - $70K;F;2;0;Bachelors Degree;Bronze;Professional;N;4
13;23;154;77;25;48;44;S;$30K - $50K;M;1;0;High School Degree;Bronze;Skilled Manual;Y;2
8;8;171;93;19;48;45;S;$50K - $70K;M;5;0;Bachelors Degree;Golden;Management;Y;2
0;0;0;0;0;0;46;M;$70K - $90K;F;1;1;Graduate Degree;Silver;Professional;N;2
0;0;19;6;6;8;47;M;$50K - $70K;M;0;0;Bachelors Degree;Bronze;Professional;N;1
15;24;188;88;31;60;48;M;$50K - $70K;M;0;0;Bachelors Degree;Bronze;Professional;N;3
4;3;73;40;4;8;49;S;$30K - $50K;F;4;0;High School Degree;Bronze;Skilled Manual;N;2
0;0;104;49;3;3;50;S;$110K - $130K;M;4;0;Partial High School;Bronze;Professional;Y;4
0;0;0;0;0;0;51;M;$90K - $110K;F;4;2;Graduate Degree;Bronze;Professional;N;3
6;13;153;60;16;34;52;S;$70K - $90K;F;3;0;Bachelors Degree;Silver;Professional;N;2
0;0;8;3;4;3;53;M;$70K - $90K;M;4;2;Graduate Degree;Normal;Management;Y;4
0;0;0;0;0;0;54;S;$30K - $50K;F;0;0;Partial College;Bronze;Professional;Y;3
9;16;92;43;8;14;55;M;$10K - $30K;M;3;2;Partial High School;Normal;Skilled Manual;Y;1
0;0;33;17;0;0;56;S;$10K - $30K;M;3;0;Partial High School;Normal;Manual;N;2
13;31;97;51;4;7;57;S;$10K - $30K;M;3;0;Partial High School;Golden;Manual;Y;0
0;0;0;0;0;0;58;S;$30K - $50K;F;3;0;Partial High School;Bronze;Skilled Manual;N;3
3;3;222;100;32;52;59;M;$30K - $50K;M;5;5;High School Degree;Bronze;Manual;Y;3
0;0;130;47;15;27;60;S;$30K - $50K;M;3;0;Partial College;Silver;Skilled Manual;Y;3
0;0;0;0;0;0;61;M;$70K - $90K;M;1;0;Bachelors Degree;Bronze;Professional;N;1
6;13;38;15;3;5;62;M;$30K - $50K;M;1;1;High School Degree;Golden;Skilled Manual;Y;2
0;0;0;0;0;0;63;S;$70K - $90K;F;4;0;Bachelors Degree;Bronze;Professional;N;2
8;9;100;55;3;9;64;S;$10K - $30K;M;4;0;Partial High School;Normal;Manual;Y;2
0;0;0;0;0;0;65;M;$90K - $110K;F;0;0;Partial College;Normal;Management;Y;3
3;2;40;16;3;7;66;M;$110K - $130K;F;4;4;Partial College;Silver;Professional;Y;2
0;0;17;7;2;7;67;M;$30K - $50K;M;3;1;Partial College;Bronze;Skilled Manual;Y;3
0;0;0;0;0;0;68;S;$30K - $50K;F;0;0;High School Degree;Silver;Manual;Y;1
0;0;0;0;0;0;69;M;$10K - $30K;M;1;1;Partial High School;Normal;Skilled Manual;Y;1
0;0;24;10;4;7;70;M;$30K - $50K;M;0;0;High School Degree;Bronze;Manual;Y;1
12;27;109;54;33;52;71;S;$10K - $30K;M;5;0;Partial High School;Normal;Manual;N;1
0;0;0;0;0;0;72;M;$10K - $30K;F;5;5;Partial High School;Normal;Skilled Manual;Y;2
0;0;0;0;0;0;73;M;$30K - $50K;F;4;3;High School Degree;Golden;Skilled Manual;Y;3
9;13;83;39;14;27;74;S;$50K - $70K;M;3;0;Bachelors Degree;Bronze;Professional;Y;3
4;6;75;35;10;18;75;S;$30K - $50K;F;3;0;High School Degree;Bronze;Manual;N;3
6;9;379;190;39;80;76;S;$70K - $90K;F;1;0;High School Degree;Normal;Professional;N;1
9;21;100;47;28;48;77;S;$50K - $70K;M;2;0;Bachelors Degree;Normal;Professional;Y;4
0;0;0;0;0;0;78;M;$10K - $30K;M;1;1;Partial High School;Silver;Manual;Y;1
6;10;157;81;18;33;79;S;$70K - $90K;M;2;0;Bachelors Degree;Bronze;Management;Y;4
3;4;92;41;2;4;80;S;$70K - $90K;F;1;0;Bachelors Degree;Bronze;Management;Y;4
3;7;72;34;22;54;81;S;$10K - $30K;M;2;0;Partial High School;Normal;Skilled Manual;Y;2
0;0;0;0;0;0;82;S;$10K - $30K;F;4;0;Partial High School;Normal;Skilled Manual;Y;1
0;0;59;32;4;3;83;S;$110K - $130K;F;3;0;Partial High School;Golden;Management;Y;2
3;12;47;19;6;15;84;S;$50K - $70K;M;4;0;Bachelors Degree;Bronze;Professional;N;3
0;0;0;0;0;0;85;M;$30K - $50K;M;3;3;High School Degree;Golden;Skilled Manual;Y;3
0;0;0;0;0;0;86;S;$30K - $50K;M;4;0;Partial High School;Normal;Skilled Manual;Y;4
6;15;88;40;7;22;87;S;$70K - $90K;F;4;0;High School Degree;Bronze;Management;N;3
3;6;52;28;12;20;88;S;$30K - $50K;F;2;0;High School Degree;Bronze;Manual;N;4
4;12;78;35;16;35;89;S;$70K - $90K;F;4;0;High School Degree;Bronze;Management;N;2
0;0;20;12;0;0;90;M;$70K - $90K;F;2;2;High School Degree;Bronze;Professional;Y;3
6;8;103;55;2;3;91;M;$50K - $70K;M;1;1;Bachelors Degree;Bronze;Professional;N;1
0;0;0;0;0;0;92;M;$30K - $50K;M;4;2;High School Degree;Bronze;Skilled Manual;Y;4
14;27;153;76;15;46;93;M;$130K - $150K;M;5;4;Bachelors Degree;Golden;Professional;Y;3
0;0;0;0;0;0;94;S;$10K - $30K;M;1;0;Partial High School;Normal;Skilled Manual;Y;1
0;0;0;0;0;0;95;S;$130K - $150K;F;2;0;Graduate Degree;Silver;Professional;Y;2
5;8;82;48;6;14;96;S;$50K - $70K;M;0;0;Bachelors Degree;Normal;Management;Y;2
3;9;101;45;5;11;97;M;$50K - $70K;M;4;4;High School Degree;Golden;Skilled Manual;Y;2
0;0;41;17;0;0;98;M;$130K - $150K;F;1;1;High School Degree;Bronze;Management;Y;3
36;79;558;262;60;129;99;S;$30K - $50K;F;3;0;Bachelors Degree;Bronze;Professional;N;2
0;0;0;0;0;0;100;M;$90K - $110K;F;2;2;Partial High School;Silver;Professional;Y;3
3;4;99;46;5;11;101;S;$10K - $30K;F;1;0;Partial High School;Normal;Manual;N;1
2;5;47;27;6;9;102;M;$30K - $50K;M;2;0;Bachelors Degree;Bronze;Professional;N;4
0;0;0;0;0;0;103;M;$50K - $70K;M;5;3;Bachelors Degree;Golden;Professional;Y;2
36;66;318;170;27;54;104;M;$30K - $50K;F;1;1;Partial College;Bronze;Clerical;N;2
0;0;98;46;5;14;105;M;$150K +;M;3;3;Bachelors Degree;Golden;Management;Y;3
15;33;134;52;0;0;106;S;$50K - $70K;M;5;0;Bachelors Degree;Bronze;Professional;Y;2
0;0;0;0;0;0;107;M;$30K - $50K;M;2;2;High School Degree;Bronze;Manual;Y;4
0;0;5;2;0;0;108;M;$90K - $110K;M;1;1;Bachelors Degree;Bronze;Management;Y;3
0;0;23;14;6;14;109;S;$50K - $70K;M;2;0;Bachelors Degree;Bronze;Professional;N;2
6;13;50;26;6;13;110;S;$10K - $30K;M;3;0;Partial High School;Normal;Manual;N;1
2;2;18;10;0;0;111;M;$70K - $90K;F;2;2;Bachelors Degree;Bronze;Management;Y;2
11;28;106;51;4;9;112;M;$30K - $50K;F;4;1;High School Degree;Bronze;Skilled Manual;Y;3
0;0;20;8;0;0;113;M;$110K - $130K;F;2;1;Bachelors Degree;Bronze;Professional;Y;3
5;13;28;14;4;7;114;S;$150K +;F;3;0;High School Degree;Silver;Professional;Y;2
5;6;186;90;15;35;115;S;$90K - $110K;F;3;0;Bachelors Degree;Silver;Professional;Y;2
3;9;21;12;6;7;116;S;$90K - $110K;M;2;0;High School Degree;Bronze;Management;N;3
18;46;169;70;27;71;117;M;$90K - $110K;F;3;1;Graduate Degree;Bronze;Professional;Y;3
18;31;199;90;23;46;118;S;$50K - $70K;M;2;0;Bachelors Degree;Bronze;Professional;Y;2
0;0;105;55;0;0;119;S;$10K - $30K;M;4;0;Partial High School;Normal;Manual;Y;1
2;5;43;22;20;46;120;M;$30K - $50K;F;0;0;High School Degree;Bronze;Skilled Manual;Y;4
8;11;76;31;5;5;121;S;$30K - $50K;F;5;0;High School Degree;Silver;Manual;Y;2
0;0;0;0;0;0;122;M;$30K - $50K;F;4;1;High School Degree;Bronze;Skilled Manual;N;3
0;0;0;0;0;0;123;M;$30K - $50K;F;2;0;High School Degree;Bronze;Manual;Y;1
0;0;15;6;0;0;124;S;$70K - $90K;F;5;0;Bachelors Degree;Bronze;Professional;N;2
5;11;51;29;17;34;125;M;$70K - $90K;M;2;2;Bachelors Degree;Bronze;Professional;Y;3
3;7;71;21;0;0;126;S;$110K - $130K;F;2;0;Partial College;Normal;Professional;Y;2
0;0;62;24;6;13;127;S;$10K - $30K;M;1;0;Partial High School;Normal;Skilled Manual;Y;0
9;17;126;54;25;54;128;S;$30K - $50K;F;1;0;High School Degree;Bronze;Skilled Manual;N;4
0;0;0;0;0;0;129;M;$50K - $70K;F;0;0;Bachelors Degree;Bronze;Professional;Y;3
0;0;17;9;0;0;130;S;$110K - $130K;F;4;0;Graduate Degree;Bronze;Professional;N;2
5;11;55;28;12;27;131;S;$10K - $30K;M;3;0;Partial High School;Normal;Manual;Y;2
0;0;0;0;0;0;132;S;$30K - $50K;F;0;0;High School Degree;Silver;Skilled Manual;N;3
0;0;83;38;6;12;133;M;$30K - $50K;M;1;0;High School Degree;Bronze;Skilled Manual;Y;3
0;0;0;0;0;0;134;S;$50K - $70K;M;4;0;Bachelors Degree;Bronze;Professional;Y;1
36;70;434;201;27;40;135;M;$110K - $130K;M;5;0;Bachelors Degree;Silver;Professional;Y;3
0;0;171;66;13;33;136;M;$150K +;M;3;3;Bachelors Degree;Golden;Professional;Y;3
11;25;124;53;13;25;137;M;$130K - $150K;F;3;3;Partial College;Bronze;Professional;Y;3
0;0;0;0;0;0;138;S;$90K - $110K;F;4;0;Partial High School;Silver;Professional;Y;2
2;6;71;25;16;45;139;M;$30K - $50K;M;1;1;Partial High School;Bronze;Manual;Y;1
4;6;85;45;15;38;140;M;$10K - $30K;M;2;1;Partial High School;Normal;Skilled Manual;Y;1
4;4;89;48;17;30;141;M;$10K - $30K;M;4;3;Partial High School;Normal;Skilled Manual;N;1
4;11;48;25;10;24;142;M;$50K - $70K;F;2;1;Bachelors Degree;Golden;Professional;Y;4
6;7;97;40;9;18;143;M;$30K - $50K;F;5;5;Partial College;Golden;Manual;Y;3
5;12;87;47;23;54;144;S;$10K - $30K;M;3;0;Partial High School;Bronze;Skilled Manual;Y;0
0;0;0;0;0;0;145;M;$10K - $30K;M;3;3;Partial High School;Normal;Manual;Y;2
0;0;10;5;0;0;146;S;$130K - $150K;M;2;0;Partial High School;Bronze;Professional;Y;4
0;0;11;8;7;16;147;S;$110K - $130K;M;4;0;Bachelors Degree;Bronze;Professional;Y;2
3;9;119;62;28;67;148;S;$70K - $90K;M;2;0;High School Degree;Bronze;Management;N;2
0;0;76;38;11;18;149;S;$50K - $70K;M;1;0;Bachelors Degree;Bronze;Professional;Y;1
3;2;29;14;11;16;150;M;$30K - $50K;F;4;1;High School Degree;Bronze;Manual;Y;3
0;0;39;18;1;3;151;M;$30K - $50K;F;3;0;Partial College;Bronze;Management;Y;4
11;26;84;41;17;44;152;S;$150K +;F;2;0;High School Degree;Silver;Professional;Y;3
0;0;0;0;0;0;153;M;$10K - $30K;F;3;2;Partial High School;Normal;Manual;Y;0
9;13;243;105;22;62;154;S;$50K - $70K;F;0;0;Bachelors Degree;Bronze;Professional;N;2
9;19;22;13;27;58;155;M;$110K - $130K;M;1;1;Partial High School;Silver;Professional;N;1
0;0;32;10;6;19;156;S;$130K - $150K;M;1;0;Bachelors Degree;Bronze;Professional;Y;2
6;15;78;35;18;23;157;S;$50K - $70K;F;2;0;Bachelors Degree;Bronze;Professional;N;2
9;8;462;198;64;131;158;M;$130K - $150K;F;3;1;Partial College;Bronze;Management;Y;3
20;33;153;61;26;46;159;M;$30K - $50K;M;4;4;High School Degree;Bronze;Skilled Manual;Y;3
5;13;142;61;15;23;160;M;$90K - $110K;F;1;1;Partial High School;Golden;Professional;N;4
5;12;127;60;9;12;161;M;$30K - $50K;F;1;0;High School Degree;Bronze;Manual;Y;2
12;22;119;59;18;32;162;M;$30K - $50K;F;3;1;Partial High School;Bronze;Manual;Y;1
3;7;105;44;5;10;163;S;$10K - $30K;F;5;0;Partial High School;Normal;Skilled Manual;N;1
0;0;50;22;11;33;164;S;$30K - $50K;F;4;0;High School Degree;Bronze;Skilled Manual;N;2
13;29;144;53;0;0;165;S;$130K - $150K;M;2;0;Bachelors Degree;Bronze;Professional;Y;3
0;0;0;0;0;0;166;S;$30K - $50K;F;4;0;High School Degree;Golden;Manual;Y;4
0;0;34;17;0;0;167;S;$70K - $90K;M;2;0;Graduate Degree;Bronze;Professional;Y;3
0;0;8;3;2;3;168;M;$10K - $30K;F;4;3;Partial High School;Normal;Manual;N;2
6;15;330;155;24;58;169;M;$50K - $70K;F;0;0;Partial High School;Bronze;Manual;Y;2
6;9;62;27;12;33;170;S;$10K - $30K;M;1;0;Partial High School;Normal;Skilled Manual;N;1
12;35;41;27;5;12;171;M;$10K - $30K;M;4;1;Partial High School;Normal;Manual;N;2
0;0;47;17;0;0;172;M;$50K - $70K;F;3;1;Bachelors Degree;Silver;Professional;N;2
0;0;0;0;0;0;173;S;$50K - $70K;F;3;0;High School Degree;Golden;Manual;N;2
0;0;0;0;0;0;174;M;$90K - $110K;F;4;0;High School Degree;Bronze;Management;Y;4
0;0;27;12;2;4;175;S;$70K - $90K;F;0;0;Graduate Degree;Bronze;Professional;N;4
0;0;12;6;4;12;176;M;$110K - $130K;M;2;2;Partial College;Silver;Professional;Y;2
26;65;254;122;7;15;177;M;$10K - $30K;M;0;0;Partial High School;Normal;Skilled Manual;N;1
6;10;192;90;36;71;178;S;$30K - $50K;M;1;0;Partial College;Bronze;Manual;Y;2
7;24;91;41;5;7;179;S;$130K - $150K;M;1;0;Graduate Degree;Golden;Professional;Y;1
0;0;90;32;10;12;180;S;$50K - $70K;F;4;0;Bachelors Degree;Bronze;Professional;N;3
19;31;335;165;22;67;181;S;$30K - $50K;F;1;0;High School Degree;Bronze;Manual;N;2
13;18;133;53;14;33;182;M;$110K - $130K;F;1;1;Graduate Degree;Bronze;Management;Y;3
0;0;0;0;0;0;183;M;$130K - $150K;M;2;0;Graduate Degree;Bronze;Professional;N;3
0;0;9;4;0;0;184;M;$70K - $90K;F;4;0;High School Degree;Bronze;Professional;Y;1
3;11;20;10;9;24;185;S;$10K - $30K;M;4;0;Partial High School;Normal;Manual;Y;1
9;17;29;21;0;0;186;M;$110K - $130K;F;3;2;Partial High School;Bronze;Professional;Y;3
10;19;247;116;19;50;187;S;$10K - $30K;M;0;0;Partial High School;Normal;Manual;Y;1
16;22;199;93;28;63;188;M;$30K - $50K;F;4;4;High School Degree;Golden;Skilled Manual;Y;3
0;0;10;6;6;17;189;M;$10K - $30K;M;2;1;Partial High School;Normal;Skilled Manual;Y;2
11;18;399;175;29;61;190;M;$110K - $130K;F;1;0;Partial College;Bronze;Professional;Y;3
12;27;92;49;32;72;191;S;$30K - $50K;F;4;0;Partial College;Normal;Manual;N;1
26;57;499;247;51;130;192;M;$50K - $70K;F;4;0;Bachelors Degree;Bronze;Professional;Y;3
2;5;54;34;5;10;193;S;$30K - $50K;M;0;0;Partial College;Bronze;Skilled Manual;Y;3
6;7;86;45;16;32;194;S;$30K - $50K;F;1;0;Partial College;Bronze;Skilled Manual;N;4
10;16;15;8;5;15;195;S;$50K - $70K;F;4;0;Bachelors Degree;Bronze;Professional;Y;2
0;0;8;5;0;0;196;S;$10K - $30K;M;2;0;Partial High School;Normal;Manual;N;1
10;14;100;52;6;14;197;M;$10K - $30K;F;1;1;High School Degree;Normal;Skilled Manual;Y;2
5;9;84;38;3;5;198;M;$10K - $30K;F;1;1;Partial High School;Normal;Skilled Manual;Y;1
0;0;0;0;0;0;199;M;$10K - $30K;M;0;0;Bachelors Degree;Normal;Professional;N;0
0;0;13;4;0;0;200;S;$50K - $70K;F;5;0;Partial College;Bronze;Skilled Manual;N;1
16;27;264;126;31;69;201;M;$50K - $70K;F;1;0;Bachelors Degree;Bronze;Professional;N;3
0;0;0;0;0;0;202;S;$10K - $30K;F;5;0;Partial High School;Normal;Manual;Y;1
0;0;0;0;0;0;203;M;$50K - $70K;M;1;0;Bachelors Degree;Silver;Management;N;4
3;2;69;35;5;14;204;M;$130K - $150K;M;2;1;High School Degree;Bronze;Management;Y;2
0;0;0;0;0;0;205;M;$110K - $130K;M;5;1;Bachelors Degree;Bronze;Management;Y;2
2;5;22;12;2;4;206;S;$50K - $70K;F;3;0;Bachelors Degree;Bronze;Management;Y;2
3;2;26;17;4;5;207;S;$70K - $90K;M;2;0;Graduate Degree;Bronze;Professional;N;3
10;13;252;126;51;117;208;M;$130K - $150K;F;2;1;Partial College;Golden;Professional;Y;1
0;0;6;3;0;0;209;S;$70K - $90K;M;2;0;Bachelors Degree;Bronze;Professional;N;1
0;0;61;28;12;31;210;M;$70K - $90K;F;1;1;Graduate Degree;Normal;Management;N;1
19;24;196;126;33;70;211;M;$10K - $30K;M;3;3;Partial High School;Normal;Skilled Manual;Y;2
0;0;0;0;0;0;212;M;$10K - $30K;M;4;3;Partial High School;Normal;Manual;Y;0
0;0;91;42;6;16;213;S;$30K - $50K;F;3;0;High School Degree;Bronze;Manual;Y;2
6;13;57;22;6;9;214;M;$30K - $50K;M;1;0;High School Degree;Bronze;Manual;Y;2
3;5;28;11;18;43;215;M;$50K - $70K;M;5;1;Partial College;Bronze;Professional;Y;4
16;24;256;116;40;95;216;S;$70K - $90K;F;2;0;High School Degree;Bronze;Professional;N;1
18;44;257;138;33;70;217;S;$50K - $70K;M;5;0;Partial College;Bronze;Skilled Manual;Y;2
4;16;60;28;8;18;218;S;$70K - $90K;M;2;0;Bachelors Degree;Bronze;Professional;Y;3
3;11;67;29;18;35;219;M;$30K - $50K;M;2;2;High School Degree;Bronze;Skilled Manual;Y;2
0;0;20;6;0;0;220;M;$50K - $70K;F;2;0;Bachelors Degree;Bronze;Management;Y;1
9;19;203;99;10;25;221;M;$30K - $50K;F;2;2;Partial College;Bronze;Skilled Manual;Y;1
3;7;123;56;10;27;222;S;$90K - $110K;F;0;0;High School Degree;Bronze;Professional;N;2
0;0;0;0;0;0;223;M;$10K - $30K;F;1;1;Partial High School;Normal;Manual;N;1
14;25;172;80;19;32;224;M;$10K - $30K;F;3;0;Partial High School;Golden;Skilled Manual;Y;0
4;14;39;27;0;0;225;S;$30K - $50K;M;5;0;High School Degree;Bronze;Manual;N;3
4;9;182;85;30;66;226;S;$90K - $110K;F;2;0;Graduate Degree;Bronze;Professional;Y;2
4;3;22;10;16;34;227;S;$30K - $50K;F;3;0;High School Degree;Bronze;Manual;Y;2
4;4;73;31;10;26;228;M;$90K - $110K;F;3;0;High School Degree;Normal;Professional;Y;3
2;5;66;40;7;9;229;M;$70K - $90K;F;1;0;Graduate Degree;Bronze;Management;Y;3
3;2;62;29;5;13;230;M;$10K - $30K;M;2;0;Partial High School;Normal;Manual;Y;2
0;0;0;0;0;0;231;M;$30K - $50K;F;5;1;Partial College;Bronze;Clerical;Y;2
0;0;45;23;4;4;232;M;$110K - $130K;F;1;0;Bachelors Degree;Silver;Management;Y;1
0;0;0;0;0;0;233;M;$130K - $150K;M;3;2;High School Degree;Bronze;Professional;N;2
4;9;68;24;3;2;234;M;$10K - $30K;M;3;0;Partial High School;Normal;Manual;Y;1
6;20;107;48;12;38;235;M;$70K - $90K;M;2;0;Bachelors Degree;Silver;Professional;N;4
0;0;40;20;6;10;236;S;$10K - $30K;M;1;0;Partial High School;Normal;Skilled Manual;N;0
2;5;41;22;6;14;237;M;$70K - $90K;M;0;0;Bachelors Degree;Bronze;Management;N;4
3;7;98;44;16;37;238;M;$10K - $30K;F;1;1;Partial High School;Normal;Manual;Y;1
0;0;0;0;0;0;239;M;$110K - $130K;M;1;0;Graduate Degree;Bronze;Professional;Y;2
18;28;107;53;26;52;240;M;$30K - $50K;M;2;2;Partial High School;Bronze;Skilled Manual;N;4
5;14;202;90;22;47;241;M;$90K - $110K;M;4;4;High School Degree;Golden;Professional;Y;3
13;38;213;117;20;46;242;S;$10K - $30K;M;1;0;Partial High School;Normal;Manual;Y;2
12;19;146;73;9;22;243;S;$30K - $50K;M;1;0;High School Degree;Silver;Manual;Y;2
11;15;140;63;9;16;244;M;$50K - $70K;F;3;3;Bachelors Degree;Golden;Professional;N;3
0;0;20;11;3;11;245;M;$130K - $150K;M;5;4;High School Degree;Golden;Professional;N;3
4;5;134;62;12;31;246;S;$30K - $50K;M;4;0;High School Degree;Bronze;Manual;Y;4
0;0;0;0;0;0;247;S;$50K - $70K;F;1;0;Bachelors Degree;Bronze;Professional;N;1
11;22;188;77;11;28;248;S;$30K - $50K;M;1;0;Partial College;Bronze;Clerical;N;4
0;0;0;0;0;0;249;S;$10K - $30K;F;1;0;Partial High School;Normal;Manual;Y;0
19;36;118;50;6;14;250;S;$30K - $50K;M;1;0;High School Degree;Normal;Manual;Y;1
2;7;8;5;0;0;251;S;$30K - $50K;F;3;0;High School Degree;Bronze;Skilled Manual;N;2
9;17;102;38;6;11;252;M;$30K - $50K;M;1;1;High School Degree;Bronze;Skilled Manual;Y;2
0;0;0;0;0;0;253;S;$130K - $150K;F;4;0;Partial High School;Silver;Professional;Y;2
0;0;0;0;0;0;254;S;$10K - $30K;M;4;0;Partial High School;Normal;Skilled Manual;N;2
10;17;85;55;8;14;255;S;$30K - $50K;M;2;0;High School Degree;Bronze;Manual;Y;2
3;10;49;20;0;0;256;M;$10K - $30K;M;2;2;Partial High School;Normal;Manual;Y;0
0;0;31;13;7;18;257;M;$30K - $50K;F;3;3;High School Degree;Silver;Manual;Y;3
2;1;27;15;3;2;258;S;$30K - $50K;M;2;0;High School Degree;Bronze;Manual;Y;3
0;0;0;0;0;0;259;M;$10K - $30K;M;2;2;Partial High School;Normal;Manual;N;0
13;34;433;175;38;75;260;M;$50K - $70K;M;5;5;Bachelors Degree;Golden;Management;N;4
10;26;129;49;16;37;261;S;$130K - $150K;M;4;0;Partial High School;Bronze;Professional;Y;4
0;0;47;26;10;35;262;S;$70K - $90K;F;4;0;Bachelors Degree;Bronze;Professional;N;2
0;0;0;0;0;0;263;M;$10K - $30K;F;0;0;Partial High School;Normal;Skilled Manual;N;1
0;0;11;4;0;0;264;S;$10K - $30K;F;0;0;Partial High School;Normal;Manual;N;1
24;52;244;104;37;75;265;S;$10K - $30K;F;4;0;Partial High School;Normal;Skilled Manual;N;1
3;2;20;10;0;0;266;S;$10K - $30K;M;2;0;Partial High School;Bronze;Manual;N;0
0;0;67;27;5;18;267;S;$130K - $150K;F;3;0;Graduate Degree;Bronze;Professional;Y;1
8;11;152;64;15;28;268;M;$30K - $50K;M;0;0;High School Degree;Bronze;Skilled Manual;Y;1
2;4;2;2;0;0;269;M;$10K - $30K;F;2;2;Partial High School;Normal;Manual;N;2
3;3;20;10;8;20;270;S;$70K - $90K;M;0;0;Bachelors Degree;Bronze;Management;N;3
3;4;23;12;7;16;271;S;$10K - $30K;M;2;0;Partial High School;Normal;Manual;Y;2
